USA_maxRE,CHL_maxRE,USA_maxEmissions,MEX_maxEmissions,MEX_maxRE
5361.070307048826,22.192195424840975,5453.723580681489,144.26539748920914,143.19642311495045
5290.427435617554,20.545911171724583,5503.38685493732,146.48125085073298,144.18553825019444
5043.2111657134055,18.78563911504716,5412.392786774143,152.76042894466627,149.05668275781318
4867.366639894828,17.053994836011043,5439.421648530174,153.09351068208161,147.77336163434484
4787.885871763139,16.626756174595357,5623.412771842183,157.60127208618906,150.4251970911464
4524.826827336779,16.554829164324474,5699.029779284506,163.4833175707663,154.17594024565733
4122.068581707553,15.759986889450374,5707.556550247741,167.0077421898077,155.25241907883355
3899.332102540284,15.252006971491937,5885.007757869516,171.14931599767988,156.58189924421094
3550.524444963188,14.826500884406414,5789.221687305524,174.7313496136485,156.93300002210708
3387.924857409831,15.278028213613652,5869.506260512129,183.83264172186136,162.32154675521087
3236.67278752361,14.991548184656494,5937.069732754214,185.16755676818138,159.38938563567535
3058.6183497393395,15.291311308839795,5976.157492919447,192.1569694859354,161.47387162334599
2857.897335422027,14.85143289300322,5982.788383826104,194.87601932680082,158.55394272115882
2647.336491317422,14.955312256743127,5920.570031620856,202.83083282979533,160.0249041723764
2495.6852954798114,14.676539698666602,5930.209049599976,205.6942887928326,155.49618023520634
2365.030085227874,14.808813434592594,6083.285082756246,215.88914877606658,157.05075193953235
2233.1084650454013,15.35167306371477,6250.011921459258,218.7496686040795,150.15013287487272
2023.7455960813622,15.265302302410419,6216.749848211629,222.75284957011536,144.3390563069188
1812.2062977370815,15.13262198733537,6277.976052875605,226.254294803819,139.71945463436896
1545.458652029818,14.756826815308159,6182.009552120532,234.7459672537134,135.96016352898368
1355.975371769724,14.333323586391998,6226.470493896029,240.67479873366938,132.8175648468732
1180.6896135858806,13.70642881477761,6269.436327569577,240.4527007153356,127.83308171194949
991.6379619600684,13.594521095654272,6295.849276779566,247.73268020764772,126.19588609958919
793.6324302239682,12.80500084790583,6233.120766446099,251.9423691998163,124.27397592679336
584.8995700523683,11.878195693319867,6175.073949462425,259.0490057939551,122.66833922258229
464.64930523621115,10.941067689054762,6158.0527679171955,258.99482118701417,118.53372681987094
334.76875618988925,10.237724412014359,6199.866105743991,270.20128239561745,118.02546780266493
247.24228592829968,9.097855398391403,6229.11734952232,269.4620245588976,114.2468106566539
237.2621385553848,8.257717997381405,6176.90120837209,276.2165514789576,111.97871416831549
177.56523027174262,6.73826547587305,6198.697596902834,279.28608523464027,108.48529277643138
