CHL_maxRE_low,USA_maxRE_low_MEX_FF_Cost,USA_maxRE_low,USA_maxEmissions,USA_maxRE_high_MEX_FF_Cost,CHL_maxRE_high,MEX_maxRE_low,USA_maxRE_high,MEX_maxRE_high
27.294424777011955,474.5605786662836,474.56057866577976,482.687106306641,474.56057959730424,27.29442475957876,143.31047743664203,474.56057866574156,143.31047743655472
25.808086075156098,469.34137175223805,469.3413717517087,486.71894058455837,468.21685917781906,25.438882480995744,144.250029062252,468.21685820151106,144.0313657538827
23.752372914173975,451.1443617382647,451.14436173771173,479.06144206717545,447.2789518493919,22.51577381486095,148.9878340281084,447.2789508265814,148.19144722970304
21.48147870419598,441.2135334258419,441.21353342526163,481.1468745623297,432.3287163829973,20.001833328813518,147.45643769688468,432.32871531245837,145.5109682889888
20.50025302368158,442.9983669213525,442.99836692074496,496.64094729094177,425.92883325456205,19.042544894833554,149.70395632978216,425.92883213502864,145.71943484214898
20.459007662560907,433.97126933178333,433.9712693311485,503.2644164814792,404.38801257257364,18.780795861543083,152.8515450408231,404.3880114015974,145.46260543842254
19.547397201806234,416.60430948016256,416.60430947950044,503.77461305761426,371.50563603597766,17.88888188018427,153.06041011274283,371.50563480768324,140.1955320633242
19.169617066392675,410.70731347250694,410.7073134718157,518.3090473961929,353.20992819789353,17.338445592484277,153.16459855095673,353.2099269055434,131.78564198801723
18.687332978055565,381.4442847134542,381.4442847127302,510.08473361181314,326.6924228763128,16.643492984061595,151.85732087281758,326.69242151559956,118.87770592889683
18.906439236297956,364.82071677369095,364.8207167729324,516.8733112791488,317.31007735836283,16.37137211004483,155.0152920683213,317.3100759300396,110.0223115925728
18.594273320861248,349.6964837724154,349.69648377161684,522.607476042449,310.09226668475276,15.633157493941326,149.1180022572753,310.09226518373544,101.38291098515765
18.912804387467986,335.38232700379194,335.3823270029461,526.2439216418443,301.56278187558564,15.266684677411831,147.30560604302082,301.56278030121393,96.32748139844625
18.454828530415398,321.54371803652975,321.5437180356439,526.4641483015821,292.4141245640003,13.834011306320463,140.054162495122,292.4141229119523,91.70012396294806
18.24823398764056,307.50999597152986,307.50999597059854,521.1809824225656,282.47214367175366,12.196046485621991,136.00443022067884,282.472141939239,88.29028631723486
17.981698987870914,300.7762554507044,300.7762554497258,521.7882593146696,278.21540781173644,9.927314492577352,127.03198808431807,278.21540599502805,83.34941236297527
17.9851865183482,298.1769649682392,298.1769649672133,534.5495192508679,276.72419421463746,7.517102153840824,124.85545689132414,276.72419230930063,80.06773522501317
18.18937408288366,296.5987488434439,296.5987488423598,548.8303434671016,276.1991365806589,8.103538443076104,119.73784385726503,276.1991345823226,74.9192072926071
17.661278293056967,289.21433994473773,289.2143399436045,545.9022242738483,270.322526255648,8.148736066930724,116.8138719900071,270.3225241596938,70.58460759612535
17.239184375748664,283.5116782080804,283.5116782068908,550.8210271164171,265.0071212168714,8.376034762921336,113.96668925070117,265.0071190188992,65.74569804683051
16.65364461126046,275.0813795808335,275.0813795795839,542.7298455035689,257.3419219095522,8.618385943433168,112.46634964567784,257.34191960475255,61.78026463327842
16.158872710962896,274.2047580205199,274.2047580192084,546.3740541402749,255.07810253552088,9.033742045172403,111.02690442211497,255.0781001158466,57.57369808312069
15.220741607503442,272.274707096798,272.2747070954174,550.039517943791,252.56690418738071,9.198491967743394,107.82042828215708,252.56690164732208,52.44172926320425
14.701980567790088,268.4872322718147,268.48723227036317,552.5940243748992,247.81118889688332,9.948117693911627,105.51044539014583,247.8111862293281,47.063127475545116
13.180272069728744,263.4974820480529,263.4974820465304,547.2141236944262,241.6259694765904,9.988014175032731,103.17066461641662,241.6259666731803,42.672613232303775
11.546915973996875,256.8295977527432,256.8295977511425,542.120956355624,233.7098406249297,10.162129578140593,100.68041931853622,233.70983768495535,39.37874033779008
10.392993806579398,254.40354879395636,254.40354879227561,540.4996264947295,229.4488896245275,10.392993600127738,97.10752895473706,229.44888652967347,33.54330674091034
10.904065227439787,252.02442543857433,252.02442543680445,544.039513648444,224.52140649154535,10.90406511891888,95.24191027328015,224.52140323831009,29.521627683887345
11.051512493590053,250.17740126216268,250.1774012602964,546.50219334551,220.23736278999058,11.051512356600142,91.03592895325892,220.23735934231263,25.6077266462471
11.513167414619602,245.61222744162296,245.61222743963845,542.2785324666474,213.1307606934024,11.513167237057132,86.82830185167222,213.1307570735189,21.414586271102962
11.716389404869915,241.63273251094142,241.63273250875864,543.865243873579,205.7269819649082,11.716389047012854,81.50424001005013,205.7269780282677,19.469306791015697
