MEX_2050_highIR,MEX_2042_highIR,MEX_2050_lowIR,MEX_2042_lowIR
144.2421500000005,143.31047800010487,144.080379193305,143.444117253717
146.34412365587218,145.06355500009752,145.94866884794382,144.54811875848497
152.46118083972075,150.76917900010494,151.8079937687372,149.48828692033285
152.56165269869965,150.40594218125617,151.6322880195523,148.2059078767916
156.7325189923786,153.951398571075,155.52016070960167,150.75985381880457
162.13540691584285,158.50754699960467,160.65440014704942,154.28451553013102
164.9708231827542,160.19204957957422,163.27148280606627,154.95738639851956
168.10610696877941,161.75670553120455,166.29742485194822,155.63255546660594
170.2537393314004,161.75226192355333,168.53786108213328,155.02789590711578
177.28281854627005,165.820617998133,176.00699457740185,159.0504712502156
175.61811768435166,162.57922354222066,175.35252321423414,154.2171169005482
178.26671000247933,163.2281002304155,179.92047125907723,153.71394256451782
174.7045436698563,157.1352396310606,179.69808330649786,147.41279721384933
173.54815168911594,152.78439467178492,184.0684235994904,144.73028718146793
163.1510496327556,143.83890801945583,182.52861210737845,135.57674660821002
154.23088250817668,143.0960709865196,187.37867081230115,131.9697666013022
155.40614588416537,132.49043827306897,183.71299452292968,124.5687371542575
157.37442574574024,121.12179200008704,179.74620447767802,120.68502096003714
158.83338195267353,108.62571776493425,173.50397542119225,117.2916733648312
162.83385029847383,94.7860124582626,170.42361987728526,115.42362942716058
163.00440193486216,82.84549481406457,162.7190780009499,113.16472235152705
156.61013432482386,71.4884769451035,151.1556026318403,109.82356975103882
154.16871734754685,62.45195089429095,146.7215587112372,107.41318096434028
148.38423758651763,55.159969595446896,143.3016218634055,104.97751527298284
141.61951933912084,49.81190700007602,141.33010491633928,102.33447061636181
130.01326580023166,43.21663200007038,136.96139925975632,98.13646275577173
122.80677121843972,38.79666200006931,137.07836760767606,96.05020700068981
109.8660649915804,34.370825000068436,134.2323371394853,92.70837500050024
97.56852600000033,30.733047656995566,132.98985268447785,90.4412250004751
84.19489100000027,28.62048100006602,130.77727200000004,88.47066700043968
