CHL_maxRE_low,USA_maxRE_low_MEX_FF_Cost,USA_maxRE_low,USA_maxEmissions
27.294424777011955,474.5605786662836,474.56057866577976,482.687106306641
25.808086075156098,469.34137175223805,469.3413717517087,486.71894058455837
23.752372914173975,451.1443617382647,451.14436173771173,479.06144206717545
21.48147870419598,441.2135334258419,441.21353342526163,481.1468745623297
20.50025302368158,442.9983669213525,442.99836692074496,496.64094729094177
20.459007662560907,433.97126933178333,433.9712693311485,503.2644164814792
19.547397201806234,416.60430948016256,416.60430947950044,503.77461305761426
19.169617066392675,410.70731347250694,410.7073134718157,518.3090473961929
18.687332978055565,381.4442847134542,381.4442847127302,510.08473361181314
18.906439236297956,364.82071677369095,364.8207167729324,516.8733112791488
18.594273320861248,349.6964837724154,349.69648377161684,522.607476042449
18.912804387467986,335.38232700379194,335.3823270029461,526.2439216418443
18.454828530415398,321.54371803652975,321.5437180356439,526.4641483015821
18.24823398764056,307.50999597152986,307.50999597059854,521.1809824225656
17.981698987870914,300.7762554507044,300.7762554497258,521.7882593146696
17.9851865183482,298.1769649682392,298.1769649672133,534.5495192508679
18.18937408288366,296.5987488434439,296.5987488423598,548.8303434671016
17.661278293056967,289.21433994473773,289.2143399436045,545.9022242738483
17.239184375748664,283.5116782080804,283.5116782068908,550.8210271164171
16.65364461126046,275.0813795808335,275.0813795795839,542.7298455035689
16.158872710962896,274.2047580205199,274.2047580192084,546.3740541402749
15.220741607503442,272.274707096798,272.2747070954174,550.039517943791
14.701980567790088,268.4872322718147,268.48723227036317,552.5940243748992
13.180272069728744,263.4974820480529,263.4974820465304,547.2141236944262
11.546915973996875,256.8295977527432,256.8295977511425,542.120956355624
10.392993806579398,254.40354879395636,254.40354879227561,540.4996264947295
10.904065227439787,252.02442543857433,252.02442543680445,544.039513648444
11.051512493590053,250.17740126216268,250.1774012602964,546.50219334551
11.513167414619602,245.61222744162296,245.61222743963845,542.2785324666474
11.716389404869915,241.63273251094142,241.63273250875864,543.865243873579
